time,open,high,low,close,tick_volume,spread,real_volume
2022-08-05 16:00:00,1.01577,1.0178,1.01414,1.01751,23808,5,0
2022-08-05 17:00:00,1.01752,1.01854,1.01607,1.01665,19404,5,0
2022-08-05 18:00:00,1.01664,1.01702,1.01511,1.01686,10356,5,0
2022-08-05 19:00:00,1.01687,1.01874,1.01665,1.01825,9035,4,0
2022-08-05 20:00:00,1.01825,1.01928,1.01787,1.01811,7421,5,0
2022-08-05 21:00:00,1.01812,1.0184,1.0172,1.01764,5999,5,0
2022-08-05 22:00:00,1.01764,1.01848,1.01732,1.01776,5144,5,0
2022-08-05 23:00:00,1.01776,1.0183,1.01704,1.01773,1874,5,0
2022-08-08 00:00:00,1.01727,1.01779,1.01727,1.01772,147,15,0
2022-08-08 01:00:00,1.01772,1.01772,1.01681,1.0173,2728,5,0
2022-08-08 02:00:00,1.0173,1.01756,1.01701,1.01719,1981,5,0
2022-08-08 03:00:00,1.01719,1.0174,1.0159,1.01662,5344,5,0
2022-08-08 04:00:00,1.01662,1.0177,1.01641,1.01756,3730,5,0
2022-08-08 05:00:00,1.01756,1.01831,1.01724,1.018,2732,5,0
2022-08-08 06:00:00,1.018,1.01856,1.0178,1.01855,2020,5,0
2022-08-08 07:00:00,1.01855,1.01856,1.01795,1.01854,1525,5,0
2022-08-08 08:00:00,1.01855,1.01887,1.01814,1.01863,2511,5,0
2022-08-08 09:00:00,1.01863,1.01885,1.0171,1.01776,6573,5,0
2022-08-08 10:00:00,1.01776,1.02148,1.01746,1.02091,11598,5,0
2022-08-08 11:00:00,1.0209,1.0209,1.01827,1.01917,8338,5,0
2022-08-08 12:00:00,1.01917,1.01921,1.01726,1.01873,7449,5,0
2022-08-08 13:00:00,1.01874,1.01932,1.01804,1.01917,6137,5,0
2022-08-08 14:00:00,1.01917,1.02013,1.01838,1.02002,6397,5,0
2022-08-08 15:00:00,1.02003,1.02022,1.01838,1.01984,7773,5,0
2022-08-08 16:00:00,1.01985,1.02147,1.01907,1.02013,8642,5,0
2022-08-08 17:00:00,1.02013,1.02192,1.01952,1.02169,11089,4,0
2022-08-08 18:00:00,1.02169,1.02217,1.0205,1.02062,7292,4,0
2022-08-08 19:00:00,1.02062,1.02124,1.01945,1.01959,5035,5,0
2022-08-08 20:00:00,1.01959,1.0205,1.01934,1.02019,4293,5,0
2022-08-08 21:00:00,1.0202,1.02054,1.01851,1.01866,5152,5,0
2022-08-08 22:00:00,1.01866,1.01929,1.0186,1.01919,2778,5,0
2022-08-08 23:00:00,1.01919,1.01959,1.01911,1.01926,1283,5,0
2022-08-09 00:00:00,1.01926,1.01941,1.019,1.01924,245,30,0
2022-08-09 01:00:00,1.01924,1.01946,1.01918,1.01944,1053,5,0
2022-08-09 02:00:00,1.01944,1.01997,1.01944,1.01977,979,5,0
2022-08-09 03:00:00,1.01977,1.02008,1.01888,1.01914,3193,5,0
2022-08-09 04:00:00,1.01914,1.01938,1.01882,1.01911,2263,5,0
2022-08-09 05:00:00,1.0191,1.01941,1.01889,1.01932,1706,5,0
2022-08-09 06:00:00,1.01932,1.01975,1.01927,1.01959,1866,5,0
2022-08-09 07:00:00,1.01959,1.0196,1.01914,1.01939,1711,5,0
2022-08-09 08:00:00,1.01938,1.0201,1.01926,1.01997,2043,4,0
2022-08-09 09:00:00,1.01997,1.02094,1.01982,1.02053,4406,5,0
2022-08-09 10:00:00,1.02053,1.02149,1.01952,1.02145,7102,5,0
2022-08-09 11:00:00,1.02145,1.02446,1.02135,1.02393,8857,4,0
2022-08-09 12:00:00,1.02392,1.02473,1.02307,1.02376,8054,5,0
2022-08-09 13:00:00,1.02376,1.02401,1.02244,1.0225,5768,2,0
2022-08-09 14:00:00,1.0225,1.02307,1.02145,1.02198,6951,5,0
2022-08-09 15:00:00,1.02198,1.02426,1.02198,1.02372,7884,5,0
2022-08-09 16:00:00,1.02372,1.02441,1.02338,1.02393,7585,5,0
2022-08-09 17:00:00,1.02392,1.02406,1.02191,1.02225,10696,5,0
2022-08-09 18:00:00,1.02225,1.02301,1.02191,1.02251,5759,5,0
2022-08-09 19:00:00,1.0225,1.02316,1.02144,1.02182,3627,5,0
2022-08-09 20:00:00,1.02182,1.022,1.02111,1.0214,2474,5,0
2022-08-09 21:00:00,1.0214,1.02171,1.02033,1.02047,3266,5,0
2022-08-09 22:00:00,1.02047,1.0212,1.02024,1.02079,2457,5,0
2022-08-09 23:00:00,1.02079,1.02153,1.02075,1.02114,1016,5,0
2022-08-10 00:00:00,1.02114,1.02135,1.02067,1.02117,311,22,0
2022-08-10 01:00:00,1.02115,1.02131,1.02052,1.02061,1575,5,0
2022-08-10 02:00:00,1.02061,1.02097,1.0205,1.02079,1452,5,0
2022-08-10 03:00:00,1.02079,1.02094,1.02026,1.0207600000000001,2577,5,0
2022-08-10 04:00:00,1.0207600000000001,1.0216,1.02052,1.02117,2125,5,0
2022-08-10 05:00:00,1.02117,1.0219,1.02105,1.02181,2022,5,0
2022-08-10 06:00:00,1.02181,1.02183,1.0212,1.0213700000000001,1204,5,0
2022-08-10 07:00:00,1.0213700000000001,1.02162,1.02116,1.02129,843,5,0
2022-08-10 08:00:00,1.02129,1.02183,1.02111,1.02113,1375,5,0
2022-08-10 09:00:00,1.02113,1.02143,1.0205,1.02112,3498,5,0
2022-08-10 10:00:00,1.02113,1.0218,1.0208,1.02104,6942,5,0
2022-08-10 11:00:00,1.02104,1.02257,1.02018,1.02222,7554,5,0
2022-08-10 12:00:00,1.02222,1.02308,1.0217,1.02272,5402,5,0
2022-08-10 13:00:00,1.02273,1.02451,1.02226,1.02415,5404,5,0
2022-08-10 14:00:00,1.02415,1.02608,1.02341,1.0258099999999999,7480,5,0
2022-08-10 15:00:00,1.02582,1.03456,1.02393,1.03238,34760,5,0
2022-08-10 16:00:00,1.03239,1.03349,1.0305,1.03222,26643,4,0
2022-08-10 17:00:00,1.03223,1.03567,1.03178,1.03551,25380,5,0
2022-08-10 18:00:00,1.03551,1.03685,1.03287,1.03334,15703,5,0
2022-08-10 19:00:00,1.03333,1.03357,1.03167,1.03249,8861,5,0
2022-08-10 20:00:00,1.03249,1.03281,1.03161,1.03164,6732,5,0
2022-08-10 21:00:00,1.03164,1.03189,1.0302,1.03037,9383,5,0
2022-08-10 22:00:00,1.03037,1.03054,1.02943,1.03032,4886,5,0
2022-08-10 23:00:00,1.03032,1.03033,1.02945,1.0298,3009,5,0
2022-08-11 00:00:00,1.02983,1.02997,1.02967,1.02983,172,17,0
2022-08-11 01:00:00,1.02983,1.03037,1.02962,1.03017,1596,5,0
2022-08-11 02:00:00,1.03017,1.03022,1.02981,1.02986,1572,5,0
2022-08-11 03:00:00,1.02986,1.03038,1.02933,1.02981,3621,5,0
2022-08-11 04:00:00,1.02981,1.02981,1.02836,1.02879,3868,5,0
2022-08-11 05:00:00,1.02879,1.02883,1.02819,1.02831,2292,5,0
2022-08-11 06:00:00,1.02831,1.02916,1.02813,1.02884,1648,5,0
2022-08-11 07:00:00,1.02884,1.02932,1.02829,1.0283,1522,5,0
2022-08-11 08:00:00,1.02831,1.02852,1.02753,1.02816,2503,5,0
2022-08-11 09:00:00,1.02816,1.03138,1.0278100000000001,1.03117,7839,5,0
2022-08-11 10:00:00,1.03117,1.03321,1.03073,1.03256,10954,4,0
2022-08-11 11:00:00,1.03256,1.03413,1.03185,1.0341,8803,5,0
2022-08-11 12:00:00,1.0341,1.03413,1.03245,1.03359,8061,5,0
2022-08-11 13:00:00,1.0336,1.03428,1.03278,1.03365,6803,5,0
2022-08-11 14:00:00,1.03366,1.03401,1.0322,1.03245,8920,5,0
2022-08-11 15:00:00,1.03244,1.03518,1.03234,1.0346899999999999,17361,5,0
2022-08-11 16:00:00,1.0346899999999999,1.03643,1.03376,1.03588,15318,5,0
2022-08-11 17:00:00,1.03588,1.03611,1.03299,1.03443,16878,5,0
2022-08-11 18:00:00,1.03443,1.03461,1.03236,1.03373,11714,5,0
2022-08-11 19:00:00,1.03372,1.03393,1.03269,1.03299,5928,5,0
2022-08-11 20:00:00,1.03299,1.03324,1.03173,1.03219,6354,5,0
2022-08-11 21:00:00,1.03218,1.03248,1.03094,1.03244,5347,5,0
2022-08-11 22:00:00,1.03244,1.03262,1.03117,1.03167,3461,5,0
2022-08-11 23:00:00,1.03167,1.03255,1.03152,1.03167,2155,5,0
2022-08-12 00:00:00,1.03168,1.03216,1.03109,1.03216,322,24,0
2022-08-12 01:00:00,1.03216,1.03263,1.032,1.03215,1457,5,0
2022-08-12 02:00:00,1.03215,1.03234,1.03179,1.03203,933,5,0
2022-08-12 03:00:00,1.03203,1.03251,1.03065,1.03129,4018,5,0
2022-08-12 04:00:00,1.03129,1.03156,1.03047,1.03061,3383,5,0
2022-08-12 05:00:00,1.03061,1.03129,1.03054,1.03115,1922,5,0
2022-08-12 06:00:00,1.03115,1.03174,1.03082,1.03171,1691,5,0
2022-08-12 07:00:00,1.03171,1.03215,1.0314,1.03173,1895,5,0
2022-08-12 08:00:00,1.03173,1.03242,1.03136,1.0315,2621,5,0
2022-08-12 09:00:00,1.0315,1.0323,1.03096,1.03112,6448,5,0
2022-08-12 10:00:00,1.03111,1.03163,1.02909,1.0297,9234,5,0
2022-08-12 11:00:00,1.0297,1.03038,1.02879,1.03018,7140,5,0
2022-08-12 12:00:00,1.03018,1.03084,1.02946,1.0298,6841,5,0
2022-08-12 13:00:00,1.02981,1.02986,1.02849,1.02914,7808,5,0
2022-08-12 14:00:00,1.02914,1.02975,1.02776,1.02777,8773,5,0
2022-08-12 15:00:00,1.02777,1.02908,1.02689,1.02704,10312,4,0
